profile,milestone,reached,players,completion_rate,mean_wall_seconds_reached,p10_wall_seconds_reached,p50_wall_seconds_reached,p90_wall_seconds_reached,p50_attended_seconds_reached
"combined_changes/risk_seeking","fan","3","3","1.0","326.766666666675","237.359999999995","331.200000000005","414.400000000022","331.200000000005"
"combined_changes/risk_seeking","well_2","3","3","1.0","734.100000000019","459.780000000034","557.300000000052","1079.13999999999","557.300000000052"
"combined_changes/risk_seeking","specialization","3","3","1.0","406.566666666688","277.859999999996","380.100000000014","545.86000000005","380.100000000014"
"combined_changes/risk_seeking","three_surges","3","3","1.0","316.766666666675","227.359999999995","321.200000000005","404.400000000022","321.200000000005"
"combined_changes/risk_seeking","well_3","2","3","0.66666666666667","1099.65000000007","1082.81000000009","1099.65000000007","1116.49000000006","1099.65000000007"
"combined_changes/risk_seeking","boss","2","3","0.66666666666667","1202.79999999999","1185.12","1202.79999999999","1220.47999999998","1202.79999999999"
"combined_changes/risk_seeking","all_core_research","3","3","1.0","845.166666666706","596.060000000059","761.100000000089","1127.9","761.100000000089"
"combined_plus_xp/cautious","first_extraction","3","3","1.0","5408.36666666705","133.559999999997","134.999999999997","12792.5200000009","134.999999999997"
"combined_plus_xp/cautious","first_research","3","3","1.0","5433.36666666705","158.559999999997","159.999999999997","12817.5200000009","159.999999999997"
"combined_plus_xp/cautious","passive_income","3","3","1.0","5408.36666666705","133.559999999997","134.999999999997","12792.5200000009","134.999999999997"
"combined_plus_xp/cautious","fan","3","3","1.0","5471.0333333338","158.559999999997","159.999999999997","12907.9200000011","159.999999999997"
"combined_plus_xp/cautious","well_2","2","3","0.66666666666667","7966.45000000016","2012.25000000006","7966.45000000016","13920.6500000003","766.450000000066"
"combined_plus_xp/cautious","specialization","3","3","1.0","15546.6000000007","3558.40000000005","15329.2000000001","27621.7600000015","929.200000000088"
"combined_plus_xp/cautious","three_surges","3","3","1.0","5497.36666666726","133.559999999997","134.999999999997","13006.1200000014","134.999999999997"
"combined_plus_xp/cautious","well_3","1","3","0.33333333333333","46438.8999999905","46438.8999999905","46438.8999999905","46438.8999999905","3238.899999999"
"combined_plus_xp/cautious","boss","1","3","0.33333333333333","46549.7999999893","46549.7999999893","46549.7999999893","46549.7999999893","3349.79999999892"
"combined_plus_xp/cautious","all_core_research","3","3","1.0","20452.2666666673","15329.9000000001","15332.7000000001","27622.4600000015","932.700000000084"
